Appeal,total_amount,donors,donation_count,avg_amount_per_donation,avg_amount_per_donor
2021MG,1655000.99,4,5,331000.198,413750.2475
SCHOLPLEDG,1537710.54,42,175,8786.917371428572,36612.15571428571
2020MG,1523000.0,7,8,190375.0,217571.42857142858
BEQUEST,1394557.94,28,36,38737.720555555556,49805.64071428571
Missing,1002242.38,25,51,19651.81137254902,40089.6952
2021AA,849642.04,695,706,1203.4589801699717,1222.5065323741007
2019MG,735204.0,3,4,183801.0,245068.0
2019 BQ,723541.3400000001,2,2,361770.67000000004,361770.67000000004
ENDOWEDFND,644581.44,15,21,30694.354285714282,42972.096
2000BLU,452469.33,110,218,2075.547385321101,4113.357545454545
2018BQ,434455.83999999997,4,5,86891.16799999999,108613.95999999999
2022MG,375000.0,4,6,62500.0,93750.0
GEXCLSCHOL,321800.0,26,62,5190.322580645161,12376.923076923076
2024BQ,307919.4,2,2,153959.7,153959.7
2014BQ,303037.75,4,4,75759.4375,75759.4375
ADVBLU,302299.56,160,290,1042.412275862069,1889.37225
2022AA,290106.89,306,341,850.7533431085044,948.0617320261439
20:20VISN,268300.0,20,49,5475.510204081633,13415.0
2024AA,263022.37,190,225,1168.988311111111,1384.3282631578948
2015BQ,259444.14,3,3,86481.38,86481.38
ADVBLUE-5,256946.19,136,235,1093.3880425531916,1889.3102205882353
2019AA,230815.0,234,239,965.7531380753138,986.3888888888889
1996STA,227880.0,81,201,1133.7313432835822,2813.3333333333335
QUICKSTART,222842.1,19,23,9688.786956521739,11728.531578947368
2025NORPAV,210003.0,21,24,8750.125,10000.142857142857
2017AA,175028.94,320,324,540.2127777777778,546.9654375
2020BQ,167828.86000000002,3,4,41957.215000000004,55942.95333333334
2016AA,163720.43,338,344,475.9314825581395,484.3799704142012
2018AG,146942.0,24,50,2938.84,6122.583333333333
2025AA,146941.3,35,50,2938.8259999999996,4198.322857142857
2015AGP,139563.0,304,310,450.2032258064516,459.0888157894737
2022BQ,135147.0,3,3,45049.0,45049.0
2023BQ,132230.0,3,3,44076.666666666664,44076.666666666664
2025BQ,128890.5,1,1,128890.5,128890.5
2023AA,125567.12,84,87,1443.3002298850574,1494.8466666666666
2017VBF,124692.0,314,555,224.67027027027027,397.10828025477707
2017BQ,119306.17,2,2,59653.085,59653.085
2016VBF,118784.9,275,524,226.68874045801525,431.9450909090909
2007BLD,116971.16,429,435,268.8992183908046,272.6600466200466
VOLBLD,116110.0,311,575,201.9304347826087,373.34405144694534
2014VBF,115150.0,288,540,213.24074074074073,399.8263888888889
2016BQ,114597.5,1,1,114597.5,114597.5
2021BQ,113902.38,2,2,56951.19,56951.19
BFPLEDGE,112250.0,39,163,688.6503067484663,2878.2051282051284
2018VBF,111700.0,296,548,203.83211678832117,377.36486486486484
2018AA,110983.0,254,266,417.2293233082707,436.9409448818898
2015VBF,109315.0,263,507,215.61143984220908,415.64638783269965
2019VBF,97720.0,271,491,199.0224032586558,360.590405904059
2020AA,89913.66,165,169,532.0334911242604,544.9312727272727
2012SCHOL,84404.04000000001,146,157,537.6053503184714,578.1098630136987
2003BLD,82931.16,330,343,241.78180758017493,251.30654545454547
2021VBF,81020.0,201,394,205.63451776649745,403.0845771144279
2023CAA,80466.33,169,171,470.56333333333333,476.1321301775148
2010BLDMUS,80280.0,43,44,1824.5454545454545,1866.9767441860465
2005BLD,79424.83,392,404,196.59611386138613,202.61436224489796
2006BLD,78802.5,253,262,300.7729007633588,311.47233201581025
2015MG,78691.51,5,6,13115.251666666665,15738.302
2002BLD,75101.0,318,322,233.23291925465838,236.16666666666666
2014BLD,75067.82,93,96,781.9564583333334,807.1808602150538
2023AG,71778.0,21,53,1354.301886792453,3418.0
2008BLD,70076.48,220,234,299.47213675213675,318.52945454545454
2022VBF,69763.3,162,333,209.4993993993994,430.6376543209877
2023VBF,68259.92,177,314,217.38828025477707,385.64926553672314
2025AAOSH,65626.0,78,80,820.325,841.3589743589744
WYANDRASCH,65000.0,1,2,32500.0,65000.0
2011SCHOL,64599.13,84,85,759.9897647058823,769.0372619047619
2024VBF,64360.0,164,289,222.69896193771626,392.4390243902439
2020VBF,62876.26,178,316,198.97550632911393,353.2374157303371
2012BLD,60950.0,98,101,603.4653465346535,621.9387755102041
2001BLD,60073.77,299,305,196.96318032786886,200.915618729097
2011BLD,58830.0,110,111,530.0,534.8181818181819
2013SCHOL,54350.0,106,111,489.63963963963965,512.7358490566038
2010SCHOL,53460.0,116,119,449.2436974789916,460.86206896551727
2009BLDJS,53095.0,61,61,870.4098360655738,870.4098360655738
2020AG,52623.0,42,57,923.2105263157895,1252.9285714285713
2004BLD,52275.0,259,265,197.26415094339623,201.83397683397683
2014SCHOL,50374.0,124,127,396.6456692913386,406.241935483871
2013BLD,50325.0,88,91,553.021978021978,571.875
MUSPLEDG,50000.0,1,1,50000.0,50000.0
