ID,Recency,Frequency,Monetary,LastAmount,FirstGiftDate,LastGiftDate,R_score,F_score,M_score,RFM_Score,RFM_Segment
12005,2511,4,800.0,500.0,2000-06-22,2018-09-27,3,4,4,11,Regular
12011,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
12015,8667,3,5250.0,150.0,2000-01-31,2001-11-19,1,3,5,9,Regular
12019,2968,27,7650.0,500.0,2000-03-03,2017-06-27,3,5,5,13,Regular
12020,798,4,1200.0,250.0,2015-06-30,2023-06-06,5,4,4,13,Champion
12027,2974,15,1915.0,200.0,2001-06-14,2017-06-21,3,5,5,13,Regular
12037,9164,2,150.0,50.0,2000-01-31,2000-07-10,1,2,2,5,At Risk / Lapsed
12053,8111,3,500.0,200.0,2002-06-19,2003-05-29,1,3,3,7,Regular
12061,5759,7,2600.0,250.0,2000-01-31,2009-11-05,2,4,5,11,Regular
12063,1141,21,10600.0,200.0,2000-07-04,2022-06-28,4,5,5,14,Champion
12064,775,1,200.0,200.0,2023-06-29,2023-06-29,5,1,2,8,Regular
12065,7585,1,100.0,100.0,2004-11-05,2004-11-05,1,1,1,3,At Risk / Lapsed
12067,8205,1,50.0,50.0,2003-02-24,2003-02-24,1,1,1,3,At Risk / Lapsed
12085,8085,1,200.0,200.0,2003-06-24,2003-06-24,1,1,2,4,At Risk / Lapsed
12091,3728,20,2140.0,140.0,2000-06-16,2015-05-29,3,5,5,13,Regular
12093,1889,3,600.0,200.0,2019-03-20,2020-06-10,4,3,3,10,Loyal
12104,1159,9,685.0,175.0,2000-01-31,2022-06-10,4,5,4,13,Champion
12106,6628,3,900.0,500.0,2001-08-02,2007-06-20,2,3,4,9,Regular
12120,9056,1,100.0,100.0,2000-10-26,2000-10-26,1,1,1,3,At Risk / Lapsed
12124,8762,4,400.0,100.0,2000-06-09,2001-08-16,1,4,3,8,Regular
12137,8827,3,525.0,225.0,2000-11-20,2001-06-12,1,3,3,7,Regular
12141,4733,3,1400.0,150.0,2001-03-29,2012-08-27,2,3,4,9,Regular
12148,2238,1,75.0,75.0,2019-06-27,2019-06-27,4,1,1,6,Regular
12169,4436,1,250.0,250.0,2013-06-20,2013-06-20,3,1,2,6,Regular
12172,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
12181,9052,1,150.0,150.0,2000-10-30,2000-10-30,1,1,2,4,At Risk / Lapsed
12184,1694,1,33000.0,33000.0,2020-12-22,2020-12-22,4,1,5,10,High Potential
12194,7349,2,500.0,250.0,2004-06-22,2005-06-29,1,2,3,6,Regular
12195,7113,2,250.0,100.0,2005-06-29,2006-02-20,2,2,2,6,At Risk / Lapsed
12210,292,6,11400.0,1000.0,2000-12-15,2024-10-24,5,4,5,14,Champion
12217,8806,9,2750.0,250.0,2000-02-16,2001-07-03,1,5,5,11,Regular
12225,43,27,17350.0,500.0,2000-06-26,2025-06-30,5,5,5,15,Champion
12226,2603,1,100.0,100.0,2018-06-27,2018-06-27,3,1,1,5,Regular
12242,8674,1,50.0,50.0,2001-11-12,2001-11-12,1,1,1,3,At Risk / Lapsed
12247,7386,2,250.0,50.0,2005-05-23,2005-05-23,1,2,2,5,At Risk / Lapsed
12249,5298,1,500.0,500.0,2011-02-09,2011-02-09,2,1,3,6,Regular
12254,9066,2,350.0,250.0,2000-01-31,2000-10-16,1,2,3,6,Regular
12263,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
12265,8658,1,150.0,150.0,2001-11-28,2001-11-28,1,1,2,4,At Risk / Lapsed
12267,9339,1,200.0,200.0,2000-01-17,2000-01-17,1,1,2,4,At Risk / Lapsed
12271,9325,1,25.0,25.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
12275,1134,2,400.0,200.0,2018-09-14,2022-07-05,4,2,3,9,Regular
12276,7368,1,50.0,50.0,2005-06-10,2005-06-10,1,1,1,3,At Risk / Lapsed
12277,9167,1,100.0,100.0,2000-07-07,2000-07-07,1,1,1,3,At Risk / Lapsed
12287,7585,4,400.0,100.0,2000-01-31,2004-11-05,1,4,3,8,Regular
12295,9325,1,100.0,100.0,2000-01-31,2000-01-31,1,1,1,3,At Risk / Lapsed
12305,7195,2,350.0,100.0,2005-06-30,2005-11-30,2,2,3,7,Regular
12307,63,1,1000.0,1000.0,2025-06-10,2025-06-10,5,1,4,10,High Potential
12322,9066,1,150.0,150.0,2000-10-16,2000-10-16,1,1,2,4,At Risk / Lapsed
12326,7379,1,100.0,100.0,2005-05-30,2005-05-30,1,1,1,3,At Risk / Lapsed
12327,8315,2,600.0,100.0,2001-06-19,2002-11-06,1,2,3,6,Regular
12342,5958,2,500.0,400.0,2008-06-17,2009-04-20,2,2,3,7,Regular
12345,8027,1,100.0,100.0,2003-08-21,2003-08-21,1,1,1,3,At Risk / Lapsed
