ReligionCode,total_amount,donors,donation_count,avg_amount_per_donation,avg_amount_per_donor
Missing,19833977.17,3315,15297,1296.5926109694713,5983.100202111615
ANG,1058293.52,417,1807,585.6632650802435,2537.874148681055
NIL,103044.22,129,331,311.3118429003021,798.7924031007752
CATH,89163.75,93,467,190.92880085653104,958.75
UNIT,74615.0,48,218,342.27064220183485,1554.4791666666667
CHR,61345.0,55,161,381.0248447204969,1115.3636363636363
GRE,31135.0,39,189,164.73544973544975,798.3333333333334
HIN,28418.0,26,64,444.03125,1093.0
COE,15840.0,15,27,586.6666666666666,1056.0
BUD,12970.0,20,60,216.16666666666666,648.5
ROMCA,11560.0,7,82,140.97560975609755,1651.4285714285713
PRO,7050.0,5,25,282.0,1410.0
LUTH,5483.93,13,38,144.31394736842105,421.84076923076924
SERB,4900.0,2,24,204.16666666666666,2450.0
ISL,4300.0,12,21,204.76190476190476,358.3333333333333
SIKH,4300.0,6,16,268.75,716.6666666666666
ROM,4000.0,3,17,235.2941176470588,1333.3333333333333
AGN,3800.0,1,19,200.0,3800.0
MUS,3600.0,2,18,200.0,1800.0
BAP,3400.0,5,16,212.5,680.0
ATH,2904.02,5,13,223.38615384615383,580.804
NON,2548.0,7,10,254.8,364.0
MOR,2100.0,3,11,190.9090909090909,700.0
MET,1475.0,3,15,98.33333333333333,491.6666666666667
PRE,1200.0,2,13,92.3076923076923,600.0
RUS,1150.0,2,2,575.0,575.0
BAH,1100.0,2,6,183.33333333333334,550.0
ORT,1000.0,4,7,142.85714285714286,250.0
AOG,1000.0,1,5,200.0,1000.0
ANR,200.0,1,3,66.66666666666667,200.0
COS,200.0,1,1,200.0,200.0
