ID,Recency,Frequency,Monetary,AvgAmount,LastAmount,LastGiftDate,FirstGiftDate,Gifts12,Amt12,GiftsPrev12,AmtPrev12
20017,1562,23,2262800.0,98382.60869565218,1230000.0,2021-05-03,2002-06-20,0.0,0.0,0.0,0.0
15613,1149,26,1477500.0,56826.92307692308,100000.0,2022-06-20,2000-06-29,0.0,0.0,0.0,0.0
18304,1758,19,774131.3,40743.75263157895,12427.34,2020-10-19,2000-06-09,0.0,0.0,0.0,0.0
84036,2780,1,627000.0,627000.0,627000.0,2018-01-01,2018-01-01,0.0,0.0,0.0,0.0
16705,6924,4,539343.73,134835.9325,26343.73,2006-08-28,2004-03-01,0.0,0.0,0.0,0.0
18614,7475,1,500000.0,500000.0,500000.0,2005-02-23,2005-02-23,0.0,0.0,0.0,0.0
16022,6313,3,319913.29,106637.76333333332,19913.29,2008-04-30,2007-02-22,0.0,0.0,0.0,0.0
15829,3813,30,302450.0,10081.666666666666,250000.0,2015-03-05,2000-06-22,0.0,0.0,0.0,0.0
18894,1896,38,255000.0,6710.526315789473,15000.0,2020-06-03,2000-06-29,0.0,0.0,0.0,0.0
67498,3891,1,252821.37,252821.37,252821.37,2014-12-17,2014-12-17,0.0,0.0,0.0,0.0
67318,2254,10,250022.0,25002.2,25000.0,2019-06-11,2015-04-21,0.0,0.0,0.0,0.0
64132,1174,2,200000.0,100000.0,100000.0,2022-05-26,2021-06-11,0.0,0.0,0.0,0.0
70831,1202,6,180000.0,30000.0,30000.0,2022-04-28,2017-08-29,0.0,0.0,0.0,0.0
20832,2702,6,168000.0,28000.0,20000.0,2018-03-20,2009-05-29,0.0,0.0,0.0,0.0
15579,790,8,160000.0,20000.0,20000.0,2023-06-14,2019-07-31,0.0,0.0,0.0,0.0
15167,1874,18,151400.0,8411.111111111111,400.0,2020-06-25,2001-05-11,0.0,0.0,0.0,0.0
16304,2527,5,149343.73,29868.746000000003,8743.73,2018-09-11,2000-02-16,0.0,0.0,0.0,0.0
18024,2339,10,139255.0,13925.5,26790.0,2019-03-18,2007-06-29,0.0,0.0,0.0,0.0
19669,1026,10,138822.52,13882.251999999999,31997.19,2022-10-21,2000-07-25,0.0,0.0,0.0,0.0
15279,6619,14,132480.0,9462.857142857143,15000.0,2007-06-29,2000-06-09,0.0,0.0,0.0,0.0
19841,7064,21,132450.0,6307.142857142857,100000.0,2006-04-10,2000-06-02,0.0,0.0,0.0,0.0
25826,778,27,128420.0,4756.2962962962965,5000.0,2023-06-26,2000-03-27,0.0,0.0,0.0,0.0
22727,623,12,118092.0,9841.0,14725.0,2023-11-28,2000-11-06,0.0,0.0,1.0,14725.0
15619,2273,17,113463.0,6674.294117647059,2000.0,2019-05-23,2000-06-29,0.0,0.0,0.0,0.0
