Year,CurrentParent,PastParent,PastStudent,FutureParent,total_amount,donation_count
2025,1,1,1,0,2020.0,15
2025,1,1,0,0,6460.0,16
2025,1,0,1,1,1200.0,6
2025,1,0,1,0,40787.8,35
2025,1,0,0,1,2403.61,10
2025,1,0,0,0,51287.37,190
2025,0,1,1,0,385612.0,54
2025,0,1,0,0,114121.5,36
2025,0,0,1,1,500.0,1
2025,0,0,1,0,285299.28,84
2025,0,0,0,1,503.0,2
2025,0,0,0,0,167145.13,22
2024,1,1,1,0,5810.0,28
2024,1,1,0,1,600.0,3
2024,1,1,0,0,9708.8,24
2024,1,0,1,1,850.0,5
2024,1,0,1,0,18005.0,38
2024,1,0,0,1,4700.0,20
2024,1,0,0,0,52773.5,188
2024,0,1,1,0,150400.0,58
2024,0,1,0,1,600.0,3
2024,0,1,0,0,116236.0,72
2024,0,0,1,1,750.0,2
2024,0,0,1,0,544217.79,91
2024,0,0,0,1,750.0,1
2024,0,0,0,0,147446.1,42
2023,1,1,1,0,5410.0,24
2023,1,1,0,1,800.0,4
2023,1,1,0,0,10900.0,40
2023,1,0,1,1,810.0,5
2023,1,0,1,0,14950.0,48
2023,1,0,0,1,2100.0,9
2023,1,0,0,0,62449.86,204
2023,0,1,1,0,240405.0,65
2023,0,1,0,1,250.0,2
2023,0,1,0,0,43848.92,124
2023,0,0,1,1,1250.0,2
2023,0,0,1,0,243484.57,85
2023,0,0,0,1,1000.0,1
2023,0,0,0,0,149971.12,39
2022,1,1,1,0,6200.0,27
2022,1,1,0,1,1250.0,2
2022,1,1,0,0,12600.0,35
2022,1,0,1,1,1300.0,5
2022,1,0,1,0,12225.0,45
2022,1,0,0,1,1150.0,4
2022,1,0,0,0,56988.71,198
2022,0,1,1,0,186210.0,88
2022,0,1,0,1,175.0,1
2022,0,1,0,0,258014.0,170
2022,0,0,1,1,250.0,1
2022,0,0,1,0,406599.19,111
2022,0,0,0,1,925.0,2
2022,0,0,0,0,93632.48,30
2021,1,1,1,0,4850.0,30
2021,1,1,0,1,400.0,3
2021,1,1,0,0,21050.0,51
2021,1,0,1,1,1300.0,6
2021,1,0,1,0,41710.0,71
2021,1,0,0,1,2400.0,11
2021,1,0,0,0,88348.0,227
2021,0,1,1,0,231500.0,154
2021,0,1,0,1,500.0,3
2021,0,1,0,0,294190.0,380
2021,0,0,1,1,3750.0,6
2021,0,0,1,0,1621933.73,145
2021,0,0,0,1,750.0,1
2021,0,0,0,0,562292.47,41
2020,1,1,1,0,2800.0,14
2020,1,1,0,1,200.0,1
2020,0,3,0,0,100.0,1
2020,1,1,0,0,2900.0,12
2020,1,0,1,1,250.0,2
2020,1,0,1,0,8400.0,31
2020,1,0,0,1,800.0,4
2020,1,0,0,0,18350.0,87
2020,0,1,1,0,266677.34,97
2020,0,1,0,1,688.0,3
2020,0,1,0,0,85719.26,208
2020,0,0,1,1,100.0,1
2020,0,0,1,0,1844641.52,86
2020,0,0,0,1,500.0,2
2020,0,0,0,0,123646.45,22
2019,1,1,1,0,14500.0,24
2019,1,1,0,1,200.0,1
2019,0,3,0,0,100.0,1
2019,1,1,0,0,12570.0,36
2019,1,0,1,0,10900.0,26
2019,1,0,0,1,400.0,2
2019,1,0,0,0,20120.0,99
2019,0,1,1,0,771912.55,129
2019,0,1,0,1,400.0,2
2019,0,1,0,0,139460.0,346
2019,0,0,1,1,5400.0,4
2019,0,0,1,0,642341.23,114
2019,0,0,0,0,202103.22,27
2018,1,1,1,0,8600.0,20
2018,0,3,0,0,200.0,1
2018,1,1,0,0,6150.0,26
2018,1,0,1,0,10100.0,25
2018,1,0,0,1,600.0,3
2018,1,0,0,0,25060.0,123
2018,0,1,1,0,354341.41000000003,167
2018,0,1,0,1,800.0,4
2018,0,1,0,0,145005.0,359
2018,0,0,1,1,600.0,4
2018,0,0,1,0,387735.11,140
2018,0,0,0,0,725280.0,26
2017,1,1,1,0,4000.0,16
2017,0,3,0,0,200.0,1
2017,1,1,0,0,6310.0,25
2017,1,0,1,0,6750.0,25
2017,1,0,0,1,600.0,3
2017,1,0,0,0,21810.0,107
2017,0,1,1,0,159600.0,201
2017,0,1,0,1,1600.0,6
2017,0,1,0,0,130742.0,379
2017,0,0,1,1,380.0,3
2017,0,0,1,0,223096.72,140
2017,0,0,0,0,163396.26,24
2016,1,1,1,1,200.0,1
2016,1,1,1,0,3350.0,15
2016,0,3,0,0,200.0,1
2016,1,1,0,0,5300.0,22
2016,1,0,1,0,4450.0,17
2016,1,0,0,1,600.0,3
2016,1,0,0,0,14850.0,73
2016,0,1,1,0,111300.0,208
2016,0,1,0,1,600.0,3
2016,0,1,0,0,129369.9,401
2016,0,0,1,1,275.0,3
2016,0,0,1,0,219995.99,126
2016,0,0,0,0,82923.07,26
2015,1,1,1,1,200.0,1
2015,1,1,1,0,5890.0,16
2015,0,3,0,0,200.0,1
2015,1,1,0,0,7100.0,30
2015,1,0,1,0,3250.0,14
2015,1,0,0,0,10630.0,52
2015,0,1,1,0,132760.0,205
2015,0,1,0,1,200.0,1
2015,0,1,0,0,109985.0,383
2015,0,0,1,1,5150.0,2
2015,0,0,1,0,323505.14,115
2015,0,0,0,0,98815.7,23
2014,1,1,1,0,2800.0,12
2014,0,3,0,0,200.0,1
2014,1,1,0,0,4450.0,19
2014,1,0,1,0,3200.0,14
2014,1,0,0,0,8300.0,36
2014,0,1,1,0,128011.38,204
2014,0,1,0,0,130830.0,478
2014,0,0,1,1,225.0,2
2014,0,0,1,0,62819.0,118
2014,0,0,0,0,299729.19,22
2013,1,1,1,0,2800.0,10
2013,0,3,0,0,200.0,1
