ID,Recency,Frequency,Monetary,AvgAmount,LastAmount,LastGiftDate,FirstGiftDate,Gifts12,Amt12,GiftsPrev12,AmtPrev12
17854,50,22,1250473.51,56839.705,128890.5,2025-06-23,2000-06-22,1.0,128890.5,1.0,121654.0
17360,63,31,701900.0,22641.935483870966,100000.0,2025-06-10,2000-06-29,1.0,100000.0,1.0,50000.0
14966,41,2,100000.0,50000.0,80000.0,2025-07-02,2025-06-30,2.0,100000.0,0.0,0.0
75775,49,4,140804.0,35201.0,60000.0,2025-06-24,2021-10-18,1.0,60000.0,1.0,27224.0
20646,244,20,248677.3,12433.865,58336.9,2024-12-11,2000-06-22,1.0,58336.9,1.0,186265.4
15409,20,5,100900.0,20180.0,50000.0,2025-07-23,2004-06-25,2.0,100000.0,0.0,0.0
49551,168,21,258469.0,12308.047619047618,25000.0,2025-02-25,2008-09-23,2.0,50000.0,1.0,50000.0
13739,28,7,27850.0,3978.5714285714284,25000.0,2025-07-15,2000-01-31,1.0,25000.0,0.0,0.0
19597,16,23,234391.41999999998,10190.931304347825,20000.0,2025-07-27,2004-08-31,5.0,58142.49,4.0,40000.0
18721,13,4,24700.0,6175.0,20000.0,2025-07-30,2017-03-15,3.0,24500.0,0.0,0.0
17966,196,3,13300.0,4433.333333333333,13000.0,2025-01-28,2012-06-26,2.0,13200.0,0.0,0.0
15685,47,10,10800.0,1080.0,10000.0,2025-06-26,2000-06-02,1.0,10000.0,0.0,0.0
17967,63,12,8870.0,739.1666666666666,6000.0,2025-06-10,2000-01-31,1.0,6000.0,0.0,0.0
13975,48,28,49050.0,1751.7857142857142,5000.0,2025-06-25,2000-01-31,1.0,5000.0,1.0,5000.0
23086,47,8,7210.0,901.25,5000.0,2025-06-26,2017-02-28,1.0,5000.0,1.0,200.0
17338,42,18,10950.0,608.3333333333334,5000.0,2025-07-01,2001-06-19,1.0,5000.0,0.0,0.0
15594,41,12,12600.0,1050.0,5000.0,2025-07-02,2014-06-26,1.0,5000.0,1.0,1000.0
67094,43,35,44600.0,1274.2857142857142,5000.0,2025-06-30,2016-04-01,1.0,5000.0,2.0,5200.0
15377,35,4,6305.0,1576.25,5000.0,2025-07-08,2021-06-17,2.0,5505.0,0.0,0.0
15059,42,5,5780.0,1156.0,5000.0,2025-07-01,2004-08-11,1.0,5000.0,0.0,0.0
15088,250,38,110750.0,2914.4736842105262,5000.0,2024-12-05,2000-07-03,1.0,5000.0,1.0,1000.0
15210,41,14,21910.0,1565.0,5000.0,2025-07-02,2004-07-29,5.0,12010.0,1.0,2000.0
66603,48,9,11350.0,1261.111111111111,2500.0,2025-06-25,2015-04-21,1.0,2500.0,0.0,0.0
17869,63,8,5400.0,675.0,2500.0,2025-06-10,2000-06-09,1.0,2500.0,0.0,0.0
22795,42,16,16750.0,1046.875,2000.0,2025-07-01,2009-06-30,1.0,2000.0,1.0,3000.0
30673,48,8,6000.0,750.0,2000.0,2025-06-25,2020-02-07,1.0,2000.0,1.0,2000.0
12889,252,4,4300.0,1075.0,2000.0,2024-12-03,2000-06-14,1.0,2000.0,0.0,0.0
48952,62,9,3600.0,400.0,2000.0,2025-06-11,2014-06-12,1.0,2000.0,0.0,0.0
19127,43,16,15250.0,953.125,2000.0,2025-06-30,2000-06-02,1.0,2000.0,1.0,1750.0
15009,41,3,1650.0,550.0,1500.0,2025-07-02,2004-06-22,1.0,1500.0,0.0,0.0
58085,50,3,2200.0,733.3333333333334,1500.0,2025-06-23,2021-06-17,1.0,1500.0,0.0,0.0
15546,42,14,7835.0,559.6428571428571,1025.0,2025-07-01,2005-06-10,1.0,1025.0,2.0,1500.0
59696,193,2,1260.0,630.0,1010.0,2025-01-31,2016-06-06,1.0,1010.0,0.0,0.0
13664,43,29,13800.0,475.86206896551727,1000.0,2025-06-30,2012-06-26,1.0,1000.0,0.0,0.0
17915,53,20,10200.0,510.0,1000.0,2025-06-20,2001-07-03,1.0,1000.0,1.0,1000.0
