ID,Recency,Frequency,Monetary,RFM_Segment
20017,1562,23,2262800.0,Champion
15613,1149,26,1477500.0,Champion
18304,1758,19,774131.3,Champion
84036,2780,1,627000.0,Regular
16705,6924,4,539343.73,Regular
18614,7475,1,500000.0,Regular
16022,6313,3,319913.29,Regular
15829,3813,30,302450.0,Regular
18894,1896,38,255000.0,Champion
67498,3891,1,252821.37,Regular
67318,2254,10,250022.0,Champion
64132,1174,2,200000.0,High Potential
70831,1202,6,180000.0,Champion
20832,2702,6,168000.0,Regular
15579,790,8,160000.0,Champion
15167,1874,18,151400.0,Champion
16304,2527,5,149343.73,Regular
18024,2339,10,139255.0,Champion
19669,1026,10,138822.52,Champion
15279,6619,14,132480.0,Regular
19841,7064,21,132450.0,Regular
25826,778,27,128420.0,Champion
15619,2273,17,113463.0,Champion
20819,5389,11,105737.98,Regular
17357,3743,5,90000.0,Regular
14980,1765,37,76700.0,Champion
15555,4775,1,76062.94,Regular
16877,5369,7,75000.0,Regular
17993,4066,23,74550.0,Regular
14991,4935,14,62459.0,Regular
18919,2328,17,61300.0,Champion
16951,1523,23,60700.0,Champion
15000,2615,27,60500.0,Regular
20606,4065,15,60000.0,Regular
12791,1517,12,59300.0,Champion
74794,1764,2,53580.0,High Potential
17193,7837,4,51100.0,Regular
15126,5229,2,50025.0,Regular
20953,3504,8,36000.0,Regular
17361,2274,1,33500.0,High Potential
12184,1694,1,33000.0,High Potential
17101,796,24,32750.0,Champion
15906,2461,32,31730.0,Regular
22450,1141,30,31040.0,Champion
71142,743,1,30000.0,High Potential
17285,2604,15,28000.0,Regular
16122,1163,19,27800.0,Champion
61721,2966,17,27400.0,Regular
14200,7782,8,27400.0,Regular
13269,6619,10,26850.0,Regular
13802,2247,28,26650.0,Champion
19585,4733,7,26500.0,Regular
15004,4052,9,26416.38,Regular
12426,777,7,26300.0,Champion
15383,1873,3,26000.0,Loyal
75779,2140,1,25000.0,High Potential
18519,3696,17,24850.0,Regular
13071,3704,7,20920.0,Regular
20108,7139,1,20000.0,Regular
67492,4209,1,20000.0,Regular
24419,1516,2,20000.0,High Potential
62979,2014,23,19050.0,Champion
20024,1168,6,18950.0,Champion
19053,7379,19,18600.0,Regular
16920,1161,5,18000.0,Champion
72207,1518,2,17700.0,High Potential
14833,1517,9,17500.0,Champion
15108,5894,21,17050.0,Regular
16482,4456,4,17000.0,Regular
18209,775,24,16560.0,Champion
25587,994,5,16500.0,Champion
61228,1139,4,16000.0,Champion
15668,2267,12,15950.0,Champion
70839,1138,4,15745.0,Champion
23234,5958,9,15380.0,Regular
22144,9035,1,15000.0,Regular
15117,8315,3,15000.0,Regular
41050,1498,1,15000.0,High Potential
43756,5522,3,15000.0,Regular
26898,1517,11,14850.0,Champion
53764,1517,7,14800.0,Champion
20100,2254,13,14732.94,Champion
16922,1531,19,14350.0,Champion
35797,2986,16,14300.0,Regular
19461,783,17,14150.0,Champion
16810,1517,30,14042.0,Champion
40582,6339,11,13800.0,Regular
19754,4276,2,13742.22,Regular
63086,1414,20,13550.0,Champion
27351,4290,20,13350.0,Regular
70640,798,6,13250.0,Champion
17561,2600,26,13150.0,Regular
40706,2625,13,12705.0,Regular
36134,777,22,12675.0,Champion
18158,2615,21,12550.0,Regular
15282,9024,1,12500.0,Regular
41267,5970,16,12500.0,Regular
17986,6480,11,12400.0,Regular
20618,782,13,12300.0,Champion
18520,4065,13,12100.0,Regular
18177,806,17,11950.0,Champion
48464,1475,26,11900.0,Champion
19774,1530,18,11380.0,Champion
16993,5628,12,11050.0,Regular
15134,2253,20,10950.0,Champion
14642,8505,6,10750.0,Regular
12063,1141,21,10600.0,Champion
17769,2121,3,10534.0,Loyal
13371,7957,3,10350.0,Regular
18485,1517,3,10250.0,Loyal
41518,783,16,10250.0,Champion
16009,4501,3,10200.0,Regular
13291,5034,4,10200.0,Regular
17167,6076,7,10200.0,Regular
12724,7953,3,10150.0,Regular
15446,8894,3,10100.0,Regular
23990,2276,6,10100.0,Champion
42314,1518,3,10000.0,Loyal
59570,5765,1,10000.0,Regular
