Month,total_amount,donors,donation_count,avg_amount_per_donation,avg_amount_per_donor,avg_donations_per_donor
2025-08,3406.0,14,16,212.875,243.28571428571428,1.1428571428571428
2025-07,291515.8,45,61,4778.947540983607,6478.1288888888885,1.3555555555555556
2025-06,651795.41,189,204,3195.0755392156866,3448.652962962963,1.0793650793650793
2025-05,9310.99,49,52,179.0575,190.02020408163264,1.0612244897959184
2025-04,2440.0,12,15,162.66666666666666,203.33333333333334,1.25
2025-03,4755.49,24,29,163.98241379310343,198.14541666666665,1.2083333333333333
2025-02,70799.0,69,73,969.8493150684932,1026.072463768116,1.0579710144927537
2025-01,23317.0,19,21,1110.3333333333333,1227.2105263157894,1.105263157894737
2024-12,77011.15,18,19,4053.218421052631,4278.397222222222,1.0555555555555556
2024-11,78325.56,18,20,3916.278,4351.42,1.1111111111111112
2024-10,154255.78,34,37,4169.0751351351355,4536.934705882353,1.088235294117647
2024-09,19495.8,24,25,779.832,812.3249999999999,1.0416666666666667
2024-08,206747.9,43,47,4398.891489361702,4808.090697674418,1.0930232558139534
2024-07,27308.0,44,47,581.0212765957447,620.6363636363636,1.0681818181818181
2024-06,359163.0,166,174,2064.155172413793,2163.632530120482,1.0481927710843373
2024-05,8560.0,46,48,178.33333333333334,186.08695652173913,1.0434782608695652
2024-04,4200.0,11,12,350.0,381.8181818181818,1.0909090909090908
2024-03,33840.0,64,64,528.75,528.75,1.0
2024-02,32040.0,73,73,438.90410958904107,438.90410958904107,1.0
2024-01,51900.0,9,9,5766.666666666667,5766.666666666667,1.0
2023-12,138040.1,11,13,10618.469230769231,12549.1,1.1818181818181819
2023-11,51179.0,17,19,2693.6315789473683,3010.529411764706,1.1176470588235294
2023-10,21346.0,24,25,853.84,889.4166666666666,1.0416666666666667
2023-09,3794.92,23,24,158.12166666666667,164.99652173913043,1.0434782608695652
2023-08,10598.0,55,59,179.6271186440678,192.6909090909091,1.0727272727272728
2023-07,38783.0,27,32,1211.96875,1436.4074074074074,1.1851851851851851
2023-06,408383.45,254,264,1546.9070075757577,1607.8088582677167,1.0393700787401574
2023-05,54151.0,61,64,846.109375,887.7213114754098,1.0491803278688525
2023-04,6390.0,11,12,532.5,580.9090909090909,1.0909090909090908
2023-03,6996.0,25,26,269.0769230769231,279.84,1.04
2023-02,33140.0,96,96,345.2083333333333,345.2083333333333,1.0
2023-01,4828.0,18,18,268.22222222222223,268.22222222222223,1.0
2022-12,52090.0,9,9,5787.777777777777,5787.777777777777,1.0
2022-11,89765.41,133,137,655.2219708029197,674.9278947368422,1.0300751879699248
2022-10,33457.19,11,12,2788.099166666667,3041.5627272727274,1.0909090909090908
2022-09,8985.0,25,26,345.5769230769231,359.4,1.04
2022-08,18235.0,64,64,284.921875,284.921875,1.0
2022-07,19565.0,45,46,425.32608695652175,434.77777777777777,1.0222222222222221
2022-06,524402.0,153,161,3257.1552795031057,3427.4640522875816,1.0522875816993464
2022-05,190192.35,92,95,2002.0247368421053,2067.308152173913,1.0326086956521738
2022-04,43324.0,27,30,1444.1333333333334,1604.5925925925926,1.1111111111111112
2022-03,21296.0,23,27,788.7407407407408,925.9130434782609,1.173913043478261
2022-02,27207.3,99,100,272.073,274.8212121212121,1.0101010101010102
2022-01,9000.13,12,12,750.0108333333333,750.0108333333333,1.0
2021-12,31110.0,4,4,7777.5,7777.5,1.0
2021-11,14425.0,7,13,1109.6153846153845,2060.714285714286,1.8571428571428572
2021-10,80018.79000000001,11,11,7274.435454545455,7274.435454545455,1.0
2021-09,5220.0,27,27,193.33333333333334,193.33333333333334,1.0
2021-08,15674.19,80,80,195.927375,195.927375,1.0
2021-07,29170.0,24,24,1215.4166666666667,1215.4166666666667,1.0
2021-06,944598.54,702,719,1313.767093184979,1345.5819658119658,1.0242165242165242
2021-05,1304166.69,72,73,17865.29712328767,18113.42625,1.0138888888888888
2021-04,3760.0,23,23,163.47826086956522,163.47826086956522,1.0
2021-03,14070.0,37,37,380.27027027027026,380.27027027027026,1.0
2021-02,34529.0,83,85,406.22352941176473,416.0120481927711,1.0240963855421688
2021-01,398231.99,33,33,12067.63606060606,12067.63606060606,1.0
2020-12,64226.259999999995,8,9,7136.251111111111,8028.282499999999,1.125
2020-11,14910.0,7,7,2130.0,2130.0,1.0
2020-10,100118.13,11,12,8343.1775,9101.648181818182,1.0909090909090908
2020-09,34120.0,27,29,1176.551724137931,1263.7037037037037,1.0740740740740742
2020-08,312510.0,55,55,5682.0,5682.0,1.0
2020-07,15960.0,57,57,280.0,280.0,1.0
2020-06,264615.18,155,157,1685.4470063694266,1707.1947096774193,1.0129032258064516
